,Year,Rank,Club,Points,PPG,GP,Won,Lost,Tie,GF,GA,GD,Home,Away
0,2025,1,Miami,13,2.6,5,4,0,1,11,5,6,2-0-1,2-0-0
1,2025,2,Philadelphia,12,2,6,4,2,0,13,8,5,2-1-0,2-1-0
2,2025,3,Columbus,12,2,6,3,0,3,8,4,4,1-0-2,2-0-1
3,2025,4,Chicago,11,1.83,6,3,1,2,13,10,3,0-0-2,3-1-0
4,2025,5,Charlotte,10,1.67,6,3,2,1,10,6,4,3-0-0,0-2-1
5,2025,6,Nashville,10,1.67,6,3,2,1,9,5,4,2-1-1,1-1-0
6,2025,7,Orlando,10,1.67,6,3,2,1,15,12,3,2-1-0,1-1-1
7,2025,8,Cincinnati,10,1.67,6,3,2,1,8,9,-1,2-0-1,1-2-0
8,2025,9,New York,8,1.33,6,2,2,2,7,6,1,2-0-1,0-2-1
9,2025,10,New York City,8,1.33,6,2,2,2,9,9,0,2-0-0,0-2-2
10,2025,11,Atlanta,8,1.33,6,2,2,2,10,11,-1,2-1-1,0-1-1
11,2025,12,D.C.,6,1,6,1,2,3,8,11,-3,1-1-2,0-1-1
12,2025,13,New England,4,0.8,5,1,3,1,3,6,-3,1-2-0,0-1-1
13,2025,14,Toronto,2,0.33,6,0,4,2,6,12,-6,0-1-1,0-3-1
14,2025,15,Montréal,2,0.33,6,0,4,2,3,10,-7,0-0-0,0-4-2
15,2025,1,Vancouver,13,2.17,6,4,1,1,10,5,5,2-1-0,2-0-1
16,2025,2,Austin,12,2,6,4,2,0,5,3,2,2-1-0,2-1-0
17,2025,3,San Diego,11,1.83,6,3,1,2,10,6,4,1-0-2,2-1-0
18,2025,4,Minnesota,11,1.83,6,3,1,2,9,6,3,2-0-1,1-1-1
19,2025,5,Colorado,11,1.83,6,3,1,2,8,7,1,1-1-1,2-0-1
20,2025,6,Portland,10,1.67,6,3,2,1,9,8,1,2-1-1,1-1-0
21,2025,7,Dallas,10,1.67,6,3,2,1,9,9,0,1-2-0,2-0-1
22,2025,8,LAFC,9,1.5,6,3,3,0,8,9,-1,2-1-0,1-2-0
